Business Name,Zip Code,License Number,License Type,City
B. UNITED INTERNATIONAL INC.,068961325,190912,LS,REDDING
BACARDI U.S.A., INC.,331345809,176184,LS,CORAL GABLES
BACCHUS TECHNOLOGIES LLC,080541012,160505,22S,MT. LAUREL
BACCO WINE & SPIRIT, LLC,176021937,278375,22S,LANCASTER
BACK ALLEY IMPORTS LLC,941072632,273239,LS,SAN FRANCISCO
BACK HOME BREWING, LLC,65721,270906,MICB,OZARK
BACKYARD VINE & WINE LLC,644688465,235430,22MS,MARYVILLE
BAD BEAR ENTERPRISES LLC,514012327,255744,LS,CARROLL
BADGER MOUNTAIN INC.,993387337,111954,22S,KENNEWICK
BALEARIC BEVERAGE DISTRIBUTORS INC.,220791432,214564,22S,LORTON
BALTIMORE BEND VINEYARD LLC,640969153,159464,22MS,WAVERLY
BALUARTE SPIRITS LLC,782584946,280256,LS,SAN ANTONIO
BANFI PRODUCTS CORPORATION,115452109,56478,LS,OLD BROOKVILLE
BANTER BREWING COMPANY LLC,658102660,279040,MICB,SPRINGFIELD
BANVILLE & JONES WINE MERCHANTS INC.,100162602,246603,LS,NEW YORK
BARGETTO'S SANTA CRUZ WINERY,950732530,61594,22S,SOQUEL
BARRA FAMILY WINES, LLC,954706105,275333,22S,REDWOOD VALLEY
BARREL 27 WINE COMPANY,934469781,275993,22S,PASO ROBLES
BARRENS WINERY LLC, THE,637757156,220441,22MS,PERRYVILLE
BASTARD BROTHERS BREWING CO LLC,630492684,272336,22MS,HIGH RIDGE
BAUM WINE IMPORTS INC.,601621457,114240,LS,HILLSIDE
BCDS ENTERPRISES, LLC,640899350,253843,LMS,SMITHVILLE
BE IN GOOD SPIRITS, LLC,787379552,273197,LS,AUSTIN
BEAR CREEK BED & BREAKFAST LLC,657718126,233856,22MS,WALNUT SHADE
BEAR REPUBLIC BREWING CO., INC.,954254439,175745,22S,CLOVERDALE
BEARD ENGINE BREWING COMPANY LLC,648300000,269776,MICB,ALBA
BEASTIE COMPANY LLC,65672,279246,MICB,HOLLISTER
BECKETTS LLC,652541005,274229,22MS,GLASGOW
BEDFORD & GROVE LLC,402432381,261390,LS,LOUISVILLE
BEES KNEES BREWING COMPANY LLC,650841020,270882,MICB,VERSAILLES
BELFRY LLC, THE,641081404,279870,LMS,KANSAS CITY
BELL'S BREWERY INC,490539558,140647,22S,GALESBURG
BELMONT VINEYARDS, LLC,655358196,176869,DOMW,LEASBURG
BELVOIR WINERY LLC,640687448,249590,DOMW,LIBERTY
BENDISTILLERY INC.,97703,269066,LS,BEND
BENOVIA WINERY LLC,954013952,206203,22S,SANTA ROSA
BENTONVILLE BREWING LLC,727123624,274088,22S,BENTONVILLE
BERGSTROM WINES LLC,971326504,178783,22S,NEWBERG
BERNARDUS, LLC,939249336,272554,22S,CARMEL VALLEY
BESPOKEN SPIRITS INC.,941302110,279470,LS,SAN FRANCISCO
BETTER DRINKS LLC,198011120,274935,22S,WILMINGTON
BEVAN CELLARS, LLC,954048225,273158,22S,SANTA ROSA
BEVERAGE BROTHERS INC.,952403169,248031,22S,LODI
BEVERAGE INNOVATION CORP.,381186102,273003,5S,MEMPHIS
BGPL-USA INC,331812547,281125,LS,MIAMI
BIAS VINEYARDS & WINERY INC.,630141418,144909,22MS,BERGER
BIAS VINEYARDS & WINERY INC.,630141418,144911,DOMW,BERGER
BIG MUDDY BREWING LLC,629663938,207771,22S,MURPHYSBORO
BIG OAK VINEYARDS LLC,647359148,237187,DOMW,CLINTON
BIG RIP LLC, THE,64116,269789,MICB,NORTH KANSAS CITY
BIG SKY BREWING COMPANY,598088680,179099,22S,MISSOULA
BINDING BRAUEREI USA INC.,068511543,175052,22S,NORWALK
BKE LLC,630314606,256366,22MS,FLORISSANT
BLACK PONY BREWING COMPANY LLC,644681602,276831,MICB,MARYVILLE
BLACK SEA IMPORTS, INC.,112202522,267111,LS,BROOKLYN
BLACK SILO LLC,646839528,239325,22MS,TRENTON
BLACKBIRD VINEYARDS LLC,945620000,206394,22S,OAKVILLE
BLACKSMITH ARTISANAL SPIRITS, LLC,650539364,260164,LMS,LOHMAN
BLAKE FARMS HARD APPLE CIDER, LLC,480052323,281336,22S,ARMADA
BLATTEL, JOAN M.,633855308,192567,22MS,WENTZVILLE
BLISS WORLDWIDE LLC,945101026,226943,22S,BENICIA
BLUE AGAVE IMPORTERS LLLP,802022319,240751,LS,DENVER
BLUE AGAVE MARKETING COMPANY,631312542,191786,LS,ST. LOUIS
BLUE MERANTI LLC,761161320,274234,LS,FORT WORTH
BLUE ROCK VINEYARD LLC,949201516,199923,22S,TIBURON
BLUE SPRING IMPORTS, INC,331624854,279622,22S,NORTH MIAMI BEACH
BLUEWOOD BREWING LLC,631183208,265792,22MS,ST. LOUIS
BLUMENHOF VINEYARDS COMPANY,633420030,49777,DOMW,DUTZOW
BOAT TOWN BREWING LLC,657228122,266807,MICB,PHILLIPSBURG
BOBBIE SUZANNE LLC,63640,268053,LS,FARMINGTON
BOEDECKER CELLARS LLC,972116156,192213,22S,PORTLAND
BOGLE VINEYARDS INC.,956125009,197205,22S,CLARKSBURG
BOMMARITO CELLARS INC,630490000,268630,DOMW,NEW HAVEN
BOMMARITO CELLARS INC,630682024,276665,LMS,NEW HAVEN
BOMMARITO WINES & SPIRITS, INC.,630433307,96573,LS,ST LOUIS
BONAVITA BEVERAGE GROUP LLC,40223,280859,LS,LOUISVILLE
BONE HILL VIEW DISTILLERY LLC,640160262,235732,LMS,BUCKNER
BOOTHEEL SPIRITS DISTILLERY LLC,63845,277796,LMS,EAST PRAIRIE
BOOTSTRAP BREWING COMPANY LLC,805015865,275332,22S,LONGMONT
BORDER BREWING COMPANY LLC,64108,274608,22MS,KANSAS CITY
BORGATA BREWERY & DISTILLERY LLC,681022825,239173,22S,OMAHA
BOSTON BEER CORPORATION,022102300,190046,22S,BOSTON
BOTTLE DIPLOMACY LLC,956886902,258809,22S,VACAVILLE
BOTTLE TREE BEVERAGE COMPANY, LLC,392015102,280213,LS,JACKSON
BOULEVARD BREWING COMPANY,641082345,265456,LMS,KANSAS CITY
BOULEVARD BREWING COMPANY,64108,279749,LMS,KANSAS CITY
BOURGMONT WINERY LLC,660130000,273020,22S,BUCYRUS
BOUTIQUE BEVERAGE COMPANY, LLC,284016403,277654,22S,WILMINGTON
BOZIC, GEORGE JR,600896904,271290,LS,BUFFALO GROVE
BRANSON WINERY LLC,656163541,254892,22MS,BRANSON
BRAZOS WINE IMPORTS LLC,112220000,232443,22S,BROOKLYN
BREUCKELEN DISTILLING COMPANY INC.,112321011,240586,LS,BROOKLYN
BREW BIZ LLC,64055,269664,MICB,INDEPENDENCE
BREW HUB LLC,338153205,245379,22S,LAKELAND
BREWDOG BREWING COMPANY LLC,431107539,269667,22S,CANAL WINCHESTER
BREWING & WINE MAKING CENTER INC.,633683623,250650,22MS,O'FALLON
BREWKERY LLC, THE,64116,273099,LMS,NORTH KANSAS CITY
BRICKELL WINES LLC,331812541,275112,LS,N. MIAMI
BRIX URBAN WINERY AND MARKET LLC,636701609,270513,22MS,STE. GENEVIEVE
BROADBENT SELECTIONS INC.,954769590,103336,22S,SONOMA
BROADWAY BREWERY, LLC,652799496,221251,MICB,ROCHEPORT
BRONCO WINE COMPANY,953076652,254445,LS,CERES
BRONZE OWL BREWING LLC,63901,249763,MICB,POPLAR BLUFF
BROOKLYN BREWERY CORPORATION, THE,112491913,244539,22S,BROOKLYN
BROWN ESTATE VINEYARDS LLC,945749642,198324,22S,ST. HELENA
BROWN-FORMAN CORPORATION,402101038,13849,LS,LOUISVILLE
BRUERY LLC, THE,928706806,276179,22S,PLACENTIA
BUB'S DISTILLERY LLC,657428357,246369,LMS,ROGERSVILLE
BUEHLER VINEYARDS INC.,945749529,33454,22S,ST HELENA
BUENAVIDA IMPORTS LLC,33178,278084,22S,DORAL
BUFFALO BAYOU BREWING COMPANY,770073999,275991,5S,HOUSTON
BUFFALO CREEK WINERY, LLC.,650782329,186689,DOMW,STOVER
BUONOCORE, GREGORY F.,946065225,278382,LS,OAKLAND
BUR OAK BREWING COMPANY LLC,652017635,221780,22MS,COLUMBIA
BURGESS CELLARS INC.,945749728,249340,22S,ST. HELENA
BUSCH DISTRIBUTING COMPANY LLC,633761078,274722,LS,ST. PETERS
BUSCH FAMILY BREWING AND DISTILLING, LLC,633411422,272816,LMS,DEFIANCE
BUZZBALLZ LLC,750066839,205376,LS,CARROLLTON
C. MONDAVI & FAMILY,945749502,123618,22S,ST HELENA
C.H. WITTENBERG DISTILLING COMPANY LLC,63068,267196,LS,NEW HAVEN
CABERNET CORPORATION,949495763,248155,22S,NOVATO
CAFFO BEVERAGES INC,07410,280360,LS,FAIR LAWN
CAIN CELLARS, INC,94574,276991,22S,SAINT HELENA
CALEDONIA SPIRITS INC.,056023848,247435,LS,MONTPELIER
CALIFORNIA BREWING CO., LLC,956185474,230383,22S,DAVIS
CALIFORNIA CIDER COMPANY INC.,954722612,177476,22S,SEBASTOPOL
CALIFORNIA TEQUILA INC.,926882047,279985,LS,RANCHO SANTA MARGARITA
CALIFORNIA VINEYARDS INC.,940703230,107295,LS,SAN CARLOS
CALINI GROUP LLC,662243332,255842,22S,LEAWOOD
CALIPASO WINERY LLC,934469533,244291,22S,PASO ROBLES
CALLIOPE VINEYARD LLC,970049701,279624,22S,BEAVERCREEK
CALLSIGN BREWING COMPANY LLC,64116,255005,MICB,NORTH KANSAS CITY
CALLUNA VINEYARDS LLC,954037416,188464,22S,SANTA ROSA
CAMARDA CORPORATION,980704519,174353,22S,VASHON
CAMO BREWING COMPANY INC.,891031200,192485,22S,LAS VEGAS
CAMPARI AMERICA LLC,100367703,215707,LS,NEW YORK
CAMPBELL & MCGILL SELECTIONS LLC,060733220,262635,22S,SOUTH GLASTONBURY
CANAL STREET BREWING COMPANY LLC,495034037,268507,22S,GRAND RAPIDS
CANARCHY CRAFT BREWERY COLLECTIVE LLC,805016793,261323,22S,LONGMONT
CANTERBURY HILL WINERY & RESTAURANT LLC,650432100,223660,22MS,HOLTS SUMMIT
CAPE CLASSICS INC.,100188004,121275,22S,NEW YORK
CARACCIOLI CELLARS INC.,93926,242443,22S,GONZALES
CARDETTI HERITAGE LLC,655590000,234393,DOMW,ST. JAMES
CARDETTI HERITAGE LLC,655590000,234394,DOMW,ST. JAMES
CARDETTI HERITAGE LLC,64870,269412,DOMW,WEBB CITY
CARDWELL HILL CELLARS LLC,973709739,189827,22S,PHILOMATH
CARIBBEAN DISTILLERS LLC,338502130,195413,LS,LAKE ALFRED
CARIBBEAN SPIRITS INC.,338904776,255987,LS,ZOLFO SPRINGS
CARNEROS WINE COMPANY INC.,945599706,224703,22S,NAPA
CARRIAGE HOUSE IMPORTS LTD.,070811315,211975,LS,SPRINGFIELD
CARROLLTON SPECIALTY PRODUCTS CO,658022948,244190,22MS,SPRINGFIELD
CASCADE BREWING COMPANY LLC,972252149,280157,22S,PORTLAND
CASPAR WINE LLC,945583083,271559,22S,NAPA
CASTLE BRANDS (USA) CORP.,109653165,179548,LS,PEARL RIVER
CASTORO CELLARS,934519567,262260,22S,SAN MIGUEL
CASUAL ANIMAL BREWING COMPANY LLC,641081423,248787,22MS,KANSAS CITY
CATAMARCA IMPORTS, LLC,300397915,277674,LS,SNELLVILLE
CAVE HOLLOW WEST WINERY LLC,634015386,208006,DOMW,HANNIBAL
CAVE VINEYARD LLC,636707931,246862,LMS,STE. GENEVIEVE
CAVEMAN SPIRITS COMPANY, LLC,921094614,279639,LS,SAN DIEGO
CEDAR RIDGE VINEYARDS LLC,52338,257111,LS,SWISHER
CELLIER WINES DISTRIBUTING INC.,119710000,267382,22S,SOUTHOLD
CENTER ICE BREWING LLC,631031213,257897,22MS,ST. LOUIS
CENTRAL COAST WINE WORKS LLC,93436,278080,22S,LOMPOC
CENTRAL STANDARD BREWING LLC,672111815,269539,22S,WICHITA
CHALICE VINEYARDS, LLC,974249591,259487,22S,COTTAGE GROVE
CHANDLER HILL VINEYARDS LLC,633412708,177976,22MS,DEFIANCE
CHAOS BREWING COMPANY LLC,648012306,270156,MICB,JOPLIN
CHAPPELLET WINERY INC.,945749628,96254,22S,ST HELENA
CHARBAUT AMERICA INC.,100165070,164173,22S,NEW YORK
CHARBAY DISTILLERS LLC,95482,244844,LS,UKIAH
CHARLES JACQUIN ET CIE. INC.,191251837,46029,LS,PHILADELPHIA
CHARLES REININGER LLC,993627291,211078,22S,WALLA WALLA
CHARLEVILLE BREWERY & WINERY LLC,63670,281264,LMS,STE GENEVIEVE
CHARLOTTES WHITE MULE INC.,650662420,192402,DOMW,OWENSVILLE
CHATEAU BARNABY, LLC,972022331,268093,22S,PORTLAND
CHATEAU DIANA LLC,954488100,235931,LS,HEALDSBURG
CHATHAM IMPORTS, INC.,100168728,133007,LS,NEW YORK
CHAUMETTE INC.,636709022,171660,22MS,STE. GENEVIEVE
CHAUMETTE, INC.,636700000,227044,22MS,STE. GENEVIEVE
CHEERS BEVERAGE, INC.,37402,274821,5S,CHATTANOOGA
CHICAGO DISTILLING COMPANY LLC,60647,254663,LS,CHICAGO
CHLOE WINES LLC,981338413,155697,22S,SEATTLE
CHRISTINES VINEYARD LLC,648709146,258634,22MS,WEBB CITY
CHRISTOPHER MICHAEL WINES LLC,971012304,235402,22S,AMITY
CINDER BLOCK BREWERY LLC,641163635,216111,22MS,NORTH KANSAS CITY
CIPCO, INC.,934462635,279348,22S,PASO ROBLES
CITY CIDER LLC,631081608,250090,22MS,ST. LOUIS
CIV USA INC.,331661006,244845,22S,MIAMI
CIVIC DUTY BREWING COMPANY LLC,64110,242927,22MS,KANSAS CITY
CIVIL LIFE BREWING COMPANY LLC, THE,631162614,200195,MICB,ST. LOUIS
CLASSIQUE LLC,631442816,213841,LS,WEBSTER GROVES
CLAVERACH FARM & VINEYARDS LLC,630250000,236131,22MS,EUREKA
CLAY STREET IMPORTS LLC,90660,277829,LS,PICO RIVERA
CLEMENZA VINI IMPORTS LLC,802104921,263462,22S,DENVER
CLINE CELLARS INC.,954769216,169747,22S,SONOMA
CLINE SISTERS IMPORTS LLC,954769216,225754,22S,SONOMA
CLIPPER CITY BREWING COMPANY, L.P.,212274624,264653,22S,BALTIMORE
CLOCK SHOP BEVERAGE LLC,229025029,276177,LS,CHARLOTTESVILLE
CLOS DU VAL WINE COMPANY LTD,945640000,273393,22S,NAPA
CNS ENTERPRISES INC.,906604303,259794,LS,PICO RIVERA
COGNAC FERRAND USA, INC.,021713139,281714,LS,QUINCY
COLORADO SPIRITS IMPORTERS LLC,803041525,248286,LS,BOULDER
COMPASS BRANDS LLC,980010000,269606,22S,AUBURN
CONFLUENCE KOMBUCHA LLC,631102103,242703,MICB,ST. LOUIS
CONNER, MATT,656168250,246637,LS,BRANSON
CONSTELLATION BRANDS INC.,144241059,76847,LS,CANANDAIGUA
CONTINENTAL VINEYARDS LLC,934465977,258805,22S,PASO ROBLES
COOLSHIP HOLDING, LLC,641081539,259235,22MS,KANSAS CITY
COOP ALE WORKS LLC,731794600,235781,22S,OKLAHOMA CITY
COOPER SPIRITS INTERNATIONAL LLC,19073,239856,LS,NEWTOWN SQUARE
COOPER'S OAK WINERY ASSOCIATES, LLC,652572875,245176,LMS,HIGBEE
COPPER CAN LLC, THE,940801906,277419,22S,SOUTH SAN FRANCISCO
COPPER CANE LLC,945730000,221080,22S,RUTHERFORD
COPPER MOUNTAIN BEVERAGE CO.,981156746,268508,LS,SEATTLE
COPPER RUN ENTERPRISES LLC,657377505,259476,LMS,BRANSON WEST
CORE BREWING & DISTILLING CO., LLC,727641819,216343,22S,SPRINGDALE
CORK ALLIANCE INC.,331221915,253698,22S,DORAL
CORNERSTONE US WINE IMPORTERS INC.,92660,267908,22S,NEWPORT BEACH
CORNING AND COMPANY DISTILLERS LLC,949281610,270422,LS,ROHNERT PARK
CORTONA LLC,802312742,267110,22S,DENVER
COUNTESS WALEWSKA LLC, THE,954723497,274575,LS,SEBASTOPOL
COUP DE FOUDRE LLC,945749631,185463,22S,ST. HELENA
COURAGEOUS INC.,956698604,234700,22S,PLYMOUTH
COWBOY COUNTRY DISTILLING, INC.,829416755,273238,LS,PINEDALE
CRAFTED DREAMS LLC,64012,273282,22MS,BELTON
CRAFTY BAR INC.,630112145,265285,22MS,ELLISVILLE
CRANE BREWING COMPANY LLC,641335210,234412,MICB,RAYTOWN
CREW WINE COMPANY LLC,956980493,206393,22S,ZAMORA
CRIBARI VINEYARDS INC.,937223943,226944,22S,FRESNO
CRIDER BREWING LLC,631101924,220723,MICB,ST. LOUIS
CRISTIE KERR WINES, LLC,945599713,281448,22S,NAPA
CRISTOM VINEYARDS,973049779,135563,22S,SALEM
CROCKER & STARR WINE CO., LLC,945741417,211122,22S,ST. HELENA
CROOK & MARKER LLC,334071994,279837,22S,WEST PALM BEACH
CROOKED STAVE LLC,802112338,258808,22S,DENVER
CROWN IMPORTS LLC,606035564,278085,22S,CHICAGO
CROWN POINT WINERY LLC,934609484,262293,22S,SANTA YNEZ
CROWN VALLEY WINERY INC.,636402002,163519,22MS,FARMINGTON
CROWN VALLEY WINERY INC.,636709039,175431,LMS,STE. GENEVIEVE
CROWN VALLEY WINERY INC.,63670,281952,LMS,STE. GENEVIEVE
CRUSE WINE COMPANY LLC,949541106,258970,22S,PETALUMA
CULT OF 8,939239577,219727,22S,CARMEL
CUNAT PREMIUM VINEYARDS LLC,945581347,233304,22S,NAPA
CUTWATER SPIRITS LLC,921212310,243494,LS,SAN DIEGO
CYNTHIA HURLEY FRENCH WINES, LLC,02465,279369,22S,WEST NEWTON
D & D DISTRIBUTORS LLLP,63043,268074,LS,MARYLAND HEIGHTS
D & D VINEYARDS INC.,97128,275995,22S,MCMINNVILLE
D & V INTERNATIONAL INC.,334582713,197865,22S,JUPITER
D. MYERS LLC,803012457,179100,22S,BOULDER
D'AQUINO ITALIAN IMPORTING CO., INC.,910102901,136434,22S,DUARTE
D'ARTAGNAN WINES CORPORATION,945586288,279636,22S,NAPA
DALE HOLLOW FRUIT FARMS LLC,650780917,219653,DOMW,STOVER
DANA ESTATES INC,945741605,279637,22S,ST. HELENA
DANCING COYOTE WINES,952209998,241907,22S,ACAMPO
DANCING CROW VINEYARDS LLC,945741631,266459,22S,ST. HELENA
DANGEROUS WINE GROUP LLC,200061631,268094,22S,WASHINGTON
DAOU VINEYARDS LLC,934468712,186603,22S,PASO ROBLES
DARIOUSH KHALEDI WINERY LLC,945581117,125856,22S,NAPA
DARNA INTERNATIONAL LLC,463858895,260626,LS,VALPARAISO
DASHE WINE CELLARS LLC,945017574,178214,22S,ALAMEDA
DAVID BOWLER LLC,100116362,261391,LS,NEW YORK
DAVID HILL VINEYARDS LLC,971167536,235932,22S,FOREST GROVE
DAVID JAMES LLC,945742233,271558,22S,ST. HELENA
DAVIS RALLY POINT LLC,64071,253589,22MS,HARRISONVILLE
DAVOS BRANDS LLC,100168827,249739,LS,NEW YORK
DAYLIGHT WINE COMPANY LLC,954769292,274635,LS,SONOMA
DE MAISON SELECTIONS, INC.,275145277,220376,LS,CHAPEL HILL
DE PONTE CELLARS LLC,971147201,207609,22S,DAYTON
DEAN AND COMPANY LLC,810501306,265109,5S,LA JUNTA
DECLAN DISTILLERS, LLC,787032534,260068,22S,AUSTIN
DEEP SLEEP BREWING COMPANY LLC,630906076,250353,22MS,WASHINGTON
DEFIANCE BREWERY LLC,676019310,223162,22S,HAYS
DEFIANCE RIDGE VINEYARDS LLC,633412803,252450,22MS,DEFIANCE
DEGRAZIA IMPORTS LLC,606544486,190592,22S,CHICAGO
DEL DOTTO VINEYARDS,94574,273080,22S,ST. HELENA
DEL WINE LLC,33126,270139,22S,DORAL
DELANEY VINEYARD & WINERY LLC,647723609,213959,DOMW,NEVADA
DELEGAT USA INC.,941050922,181770,22S,SAN FRANCISCO
DELICATO VINEYARDS,95242,276397,22S,MANTECA
DELILLE CELLARS, LLC,980725004,280900,22S,WOODINVILLE
DEMEINE ESTATES LLC,945991214,277927,22S,YOUNTVILLE
DEMERARA DISTILLERS (USA) INC.,333177578,216209,LS,PLANTATION
DENNER FAMILY LLC,934469684,264055,22S,PASO ROBLES
DENNIS, MICHAEL D. & KATHY L.,658037972,192470,DOMW,SPRINGFIELD
DESCHUTES BREWERY INC.,977023118,194568,22S,BEND
DESTIHL BREWERY LLC,617616459,238203,22S,NORMAL
DEW DROP LLC,636279091,280613,MICB,BLOOMSDALE
DIAGEO AMERICAS INC.,100072439,174611,LS,NEW YORK
DIAGEO BEER COMPANY USA,100072439,138601,22S,NEW YORK
DIAMOND IMPORTERS INC.,606141793,214334,22S,CHICAGO
DIAMOND MOUNTAIN VINEYARD COMANY, INC,945153669,272407,22S,CALISTOGA
DIASTOLE BREWING COMPANY LLC,646441029,225227,MICB,HAMILTON
DIDDY'S KITCHEN BBQ AND BREWERY LLC,640608503,274912,MICB,KEARNEY
DIERBERG EDUCATIONAL FOUNDATION INC.,650419650,248754,LMS,HERMANN
DISARONNO INTERNATIONAL LLC,088731172,227613,LS,SOMERSET
DISTAFF WINE COMPANY LLC,971323577,281630,22S,NEWBERG
DISTILLERS WAY LLC,982487813,264164,LS,FERNDALE
DISTILLERY OF DEFIANCE LLC,633413103,235727,LMS,DEFIANCE
DIVERGENT VINE LLC,95684,260939,22S,SOMERSET
DIVOT ENTERPRISES LLC,945620000,188677,22S,OAKVILLE
DK54VINES LLC,658020000,237643,22S,SPRINGFIELD
